FIRMA;DIL;Login;WaitTime;WaitCount;CustomMaxAnswered;MEDIATION_DURATION;SAAT
1;2;7;2034;12;2132;1155;5
1;2;7;1741;12;1350;1295;5
2;2;9;562;8;1144;497;5
2;2;10;1008;12;1370;486;5
1;2;7;2055;11;1887;829;5
3;2;2;707;3;1319;1321;5
3;2;2;685;4;1707;1470;5
3;1;3;0;0;2;0;5
2;2;10;1059;13;1370;626;5
4;1;2;0;0;220;113;5
2;2;9;1290;13;1370;552;5
2;2;10;856;18;803;1068;5
2;2;10;1030;13;1370;590;5
4;1;2;0;0;190;0;5
2;2;9;1286;12;1370;541;5
3;1;3;0;0;2;0;5
2;1;6;0;0;13;0;5
1;2;7;1441;12;1350;1580;4
2;2;9;1139;18;1080;853;5
4;1;2;0;0;3;189;5
4;2;2;923;3;1540;888;5
2;2;10;1086;14;1370;617;5
4;2;2;674;4;1540;1223;5
2;2;10;1058;14;1370;570;5
4;2;2;1378;4;1914;1330;5
2;1;7;0;0;2;0;5
3;2;2;664;3;1707;881;5
2;2;9;1085;17;1080;873;5
2;2;9;754;15;803;1079;5
2;1;7;0;0;2;0;5
3;1;3;0;0;2;0;5
2;2;10;945;15;916;551;4
2;2;10;586;17;1064;1316;4
1;1;16;0;0;2;1;5
2;2;8;1250;10;1370;561;5
1;2;7;1130;10;1246;2044;4
2;2;10;578;16;1064;1302;4
3;2;2;1171;2;0;1167;4
2;2;10;491;17;921;1339;4
2;2;10;756;16;803;1142;5
4;1;2;0;0;190;1;5
2;2;10;550;15;1064;1318;4
4;1;2;0;0;3;0;5
1;2;7;1421;11;1350;1491;4
4;2;2;1246;4;1914;1039;5
1;2;7;1092;9;1246;1997;4
4;1;2;0;0;0;1;5
2;2;9;528;13;1064;1239;4
1;2;7;1080;8;1542;2131;4
1;2;7;942;8;1542;1886;4
3;1;3;0;0;2;1;5
4;2;2;1220;3;1914;644;5
1;2;7;940;7;1542;1707;4
2;2;10;553;14;1064;1266;4
2;2;10;533;13;1064;1279;4
2;2;10;697;18;800;1143;5
3;2;2;1175;3;0;1319;4
2;2;9;749;12;1064;1075;4
2;2;10;571;15;1064;1368;4
2;2;9;750;13;1064;1218;4
2;2;9;585;12;660;798;4
4;2;2;813;2;936;1411;4
4;1;2;0;0;3;0;5
3;2;2;482;2;829;1705;4
2;2;9;745;11;1064;993;4
2;2;10;814;12;1064;801;4
2;2;10;786;14;1064;1074;4
3;2;2;455;2;829;1576;4
1;2;7;1229;8;1542;1817;4
2;2;9;766;12;1064;736;4
2;2;9;758;11;1064;733;4
2;2;10;699;13;653;719;4
1;2;7;772;7;853;1718;3
3;1;3;0;0;2;0;5
4;2;2;979;3;936;1538;4
2;2;10;865;10;1064;544;4
2;2;10;768;13;1064;1078;4
1;2;7;1234;7;1719;1165;4
4;2;2;243;2;1378;1912;4
2;1;7;0;0;0;0;5
3;2;2;557;2;680;715;4
1;2;7;1173;8;1542;1348;4
2;2;10;808;11;1064;608;4
2;2;10;1059;15;916;637;4
3;1;3;0;0;0;0;4
2;2;9;983;16;916;611;4
2;2;10;653;12;653;747;4
1;1;16;0;0;0;0;5
2;2;10;244;8;609;319;4
2;2;10;701;14;653;757;4
2;2;8;564;11;660;904;4
4;1;2;0;0;36;0;4
1;2;7;1170;6;1719;1099;4
2;2;9;565;11;660;798;4
1;2;7;745;5;491;586;3
1;2;7;899;6;853;1238;4
4;1;2;0;0;3;35;4
4;2;2;725;1;1378;935;4
2;2;9;626;11;660;903;4
2;2;9;544;10;660;919;4
4;1;2;0;0;2;1;4
2;2;9;478;9;660;992;4
2;2;9;437;10;660;859;4
2;2;9;477;10;660;971;4
1;2;7;1645;7;1147;1114;4
2;2;9;469;9;660;956;4
2;2;10;605;7;652;620;4
1;2;7;1159;6;1719;1237;4
2;2;10;639;9;652;914;4
2;1;7;0;0;2;0;4
2;2;9;617;8;652;1062;4
